Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Quality of patient care star rating,How often the home health team began their patients' care in a timely manner,How often the home health team determined whether patients received a flu shot for the current flu season,How often patients got better at walking or moving around,How often patients got better at getting in and out of bed,How often patients got better at bathing,How often patients' breathing improved,How often patients got better at taking their drugs correctly by mouth,How often home health patients had to be admitted to the hospital,"How often patients receiving home health care needed urgent, unplanned care in the ER without being admitted",Changes in skin integrity post-acute care: pressure ulcer/injury,How often physician-recommended actions to address medication issues were completely timely,Percent of Residents Experiencing One or More Falls with Major Injury,Application of Percent of Long Term Care Hospital Patients with an Admission and Discharge Functional Assessment and a Care Plan that Addresses Function,DTC Numerator,DTC Denominator,DTC Observed Rate,DTC Risk-Standardized Rate,DTC Risk-Standardized Rate (Lower Limit),DTC Risk-Standardized Rate (Upper Limit),DTC Performance Categorization,PPR Numerator,PPR Denominator,PPR Observed Rate,PPR Risk-Standardized Rate,PPR Risk-Standardized Rate (Lower Limit),PPR Risk-Standardized Rate (Upper Limit),PPR Performance Categorization,PPH Numerator,PPH Denominator,PPH Observed Rate,PPH Risk-Standardized Rate,PPH Risk-Standardized Rate (Lower Limit),PPH Risk-Standardized Rate (Upper Limit),PPH Performance Categorization,"How much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","No. of episodes to calc how much Medicare spends per episode of care at agency, compared to spending at all agencies (national)"
1,1,1,1,1,1,4.0,100.0,35.0,87.0,87.0,92.0,86.0,87.0,15.0,12.0,0.0,99.0,0.0,98.0,578.0,800.0,72.0,78.0,74.0,81.0,0.0,10.0,270.0,4.0,4.0,3.0,5.0,0.0,44.0,410.0,11.0,11.0,8.0,14.0,0.0,1.0,318.0
1,1,1,1,1,1,2.0,99.0,73.0,65.0,70.0,72.0,80.0,69.0,14.0,12.0,0.0,99.0,0.0,100.0,238.0,18.0,72.0,77.0,70.0,82.0,0.0,14.0,5.0,4.0,4.0,3.0,5.0,0.0,35.0,10.0,10.0,10.0,7.0,15.0,0.0,1.0,58.0
1,1,1,1,1,1,2.0,93.0,54.0,64.0,70.0,66.0,66.0,52.0,16.0,18.0,0.0,87.0,3.0,100.0,33.0,42.0,79.0,80.0,67.0,90.0,0.0,14.0,13.0,4.0,4.0,3.0,5.0,0.0,5.0,44.0,11.0,11.0,6.0,18.0,0.0,1.0,81.0
1,1,1,1,1,1,4.0,100.0,66.0,80.0,91.0,87.0,86.0,66.0,4.0,1.0,0.0,100.0,2.0,99.0,50.0,53.0,94.0,95.0,86.0,100.0,1.0,14.0,19.0,4.0,4.0,3.0,5.0,0.0,0.0,24.0,0.0,8.0,4.0,15.0,0.0,1.0,62.0
1,0,0,0,0,1,3.0,94.0,71.0,79.0,80.0,82.0,80.0,76.0,14.0,12.0,0.0,92.0,1.0,98.0,238.0,15.0,72.0,77.0,70.0,82.0,0.0,14.0,5.0,4.0,4.0,3.0,5.0,0.0,35.0,6.0,10.0,10.0,7.0,15.0,0.0,1.0,22.0
1,1,1,1,1,1,2.0,99.0,62.0,62.0,63.0,67.0,69.0,64.0,14.0,12.0,0.0,88.0,0.0,95.0,42.0,66.0,64.0,70.0,57.0,80.0,0.0,14.0,18.0,4.0,4.0,3.0,5.0,0.0,1.0,24.0,4.0,9.0,5.0,16.0,0.0,1.0,97.0
1,1,1,0,1,1,3.0,76.0,71.0,32.0,38.0,37.0,80.0,76.0,14.0,12.0,0.0,87.0,7.0,97.0,14.0,30.0,47.0,56.0,39.0,73.0,-1.0,14.0,8.0,4.0,4.0,3.0,5.0,0.0,3.0,22.0,14.0,11.0,6.0,17.0,0.0,1.0,98.0
1,1,1,1,1,1,2.0,94.0,78.0,75.0,74.0,75.0,80.0,70.0,14.0,12.0,0.0,90.0,0.0,96.0,238.0,6.0,72.0,77.0,70.0,82.0,0.0,14.0,4.0,4.0,4.0,3.0,5.0,0.0,35.0,3.0,10.0,10.0,7.0,15.0,0.0,1.0,10.0
1,1,1,1,1,1,3.0,97.0,43.0,83.0,82.0,75.0,77.0,72.0,10.0,6.0,0.0,87.0,0.0,100.0,43.0,79.0,54.0,56.0,46.0,66.0,-1.0,14.0,6.0,4.0,4.0,3.0,5.0,0.0,3.0,44.0,7.0,10.0,6.0,16.0,0.0,1.0,186.0
1,1,1,1,1,1,2.0,100.0,14.0,56.0,59.0,45.0,49.0,47.0,21.0,3.0,0.0,98.0,6.0,96.0,35.0,53.0,66.0,71.0,59.0,81.0,0.0,14.0,4.0,4.0,4.0,3.0,5.0,0.0,4.0,30.0,13.0,11.0,6.0,18.0,0.0,1.0,90.0
1,1,1,1,1,0,4.0,65.0,98.0,98.0,91.0,93.0,95.0,90.0,15.0,3.0,0.0,99.0,2.0,100.0,29.0,52.0,56.0,60.0,46.0,73.0,-1.0,14.0,15.0,4.0,4.0,3.0,5.0,0.0,9.0,36.0,25.0,14.0,9.0,22.0,0.0,1.0,285.0
1,1,1,1,1,1,3.0,94.0,100.0,44.0,62.0,81.0,100.0,16.0,8.0,8.0,0.0,52.0,0.0,100.0,38.0,43.0,88.0,87.0,75.0,94.0,0.0,14.0,1.0,4.0,4.0,3.0,5.0,0.0,2.0,24.0,8.0,10.0,5.0,18.0,0.0,1.0,82.0
1,1,1,1,1,1,3.0,97.0,64.0,81.0,82.0,89.0,76.0,87.0,24.0,10.0,0.0,87.0,1.0,100.0,40.0,105.0,38.0,44.0,34.0,53.0,-1.0,14.0,10.0,4.0,4.0,3.0,5.0,0.0,15.0,88.0,17.0,13.0,9.0,19.0,0.0,1.0,308.0
1,1,1,1,1,1,3.0,87.0,100.0,79.0,80.0,82.0,80.0,76.0,14.0,12.0,0.0,100.0,0.0,100.0,15.0,31.0,48.0,57.0,40.0,72.0,-1.0,14.0,7.0,4.0,4.0,3.0,5.0,0.0,35.0,16.0,10.0,10.0,7.0,15.0,0.0,1.0,316.0
1,1,1,1,1,1,4.0,93.0,92.0,94.0,73.0,94.0,97.0,59.0,12.0,8.0,0.0,99.0,0.0,100.0,500.0,532.0,94.0,90.0,87.0,92.0,1.0,14.0,17.0,4.0,4.0,3.0,5.0,0.0,6.0,284.0,2.0,6.0,4.0,10.0,1.0,1.0,318.0
1,1,1,1,1,1,2.0,80.0,50.0,75.0,80.0,86.0,40.0,75.0,20.0,5.0,0.0,68.0,0.0,90.0,58.0,68.0,85.0,84.0,75.0,91.0,0.0,14.0,8.0,4.0,4.0,3.0,5.0,0.0,6.0,33.0,18.0,15.0,9.0,23.0,0.0,1.0,237.0
1,1,1,1,1,1,4.0,100.0,94.0,83.0,85.0,85.0,64.0,66.0,10.0,7.0,0.0,100.0,0.0,100.0,73.0,81.0,90.0,86.0,77.0,91.0,1.0,14.0,9.0,4.0,4.0,3.0,5.0,0.0,0.0,51.0,0.0,7.0,4.0,13.0,0.0,1.0,235.0
1,1,1,1,1,1,4.0,100.0,80.0,100.0,100.0,78.0,61.0,66.0,8.0,1.0,0.0,100.0,0.0,100.0,254.0,262.0,97.0,90.0,88.0,92.0,1.0,14.0,9.0,4.0,4.0,3.0,5.0,0.0,1.0,146.0,1.0,6.0,4.0,10.0,0.0,1.0,528.0
1,1,1,1,1,1,4.0,100.0,99.0,87.0,88.0,100.0,94.0,100.0,9.0,5.0,0.0,100.0,0.0,100.0,197.0,210.0,94.0,89.0,86.0,92.0,1.0,14.0,6.0,4.0,4.0,3.0,5.0,0.0,5.0,115.0,4.0,9.0,5.0,13.0,0.0,1.0,537.0
1,1,1,1,1,1,4.0,100.0,72.0,78.0,53.0,80.0,94.0,54.0,7.0,5.0,0.0,99.0,0.0,100.0,197.0,206.0,96.0,90.0,87.0,92.0,1.0,14.0,5.0,4.0,4.0,3.0,5.0,0.0,3.0,127.0,2.0,8.0,5.0,13.0,0.0,1.0,460.0
1,1,1,1,1,1,3.0,99.0,86.0,76.0,81.0,81.0,80.0,78.0,14.0,16.0,0.0,94.0,1.0,100.0,238.0,226.0,76.0,82.0,79.0,84.0,1.0,21.0,594.0,4.0,4.0,3.0,5.0,0.0,88.0,943.0,9.0,10.0,8.0,12.0,0.0,1.0,318.0
1,1,1,1,1,1,4.0,100.0,87.0,95.0,49.0,96.0,99.0,12.0,11.0,4.0,0.0,100.0,1.0,100.0,145.0,150.0,97.0,89.0,86.0,92.0,1.0,14.0,2.0,4.0,4.0,3.0,5.0,0.0,2.0,80.0,2.0,9.0,5.0,15.0,0.0,1.0,332.0
1,1,1,1,1,1,3.0,94.0,71.0,79.0,80.0,82.0,80.0,76.0,10.0,8.0,0.0,92.0,1.0,98.0,153.0,174.0,88.0,84.0,79.0,89.0,1.0,14.0,7.0,4.0,4.0,3.0,5.0,0.0,2.0,80.0,2.0,8.0,5.0,15.0,0.0,1.0,400.0
1,1,1,1,1,1,5.0,97.0,81.0,100.0,100.0,100.0,94.0,94.0,8.0,5.0,0.0,99.0,0.0,100.0,126.0,149.0,85.0,82.0,76.0,87.0,0.0,14.0,5.0,4.0,4.0,3.0,5.0,0.0,2.0,84.0,2.0,8.0,4.0,13.0,0.0,1.0,303.0
